ID,PREDICTIT_NAME,PREDICTIT_SHORT_NAME,PREDICTIT_URL
6867,Which party will win the 2024 U.S. presidential election?,Which party wins the presidency in 2024?,https://www.predictit.org/markets/detail/6867/Which-party-will-win-the-2024-US-presidential-election
6874,Which party will control the Senate after 2022 election?,Who will control the Senate after 2022?,https://www.predictit.org/markets/detail/6874/Which-party-will-control-the-Senate-after-2022-election
6892,Which party will win the House in the 2022 election?,Which party will win the House in 2022?,https://www.predictit.org/markets/detail/6892/Which-party-will-win-the-House-in-the-2022-election
6953,Will Kamala Harris file to run for president before 2023?,Harris files for President before 2023?,https://www.predictit.org/markets/detail/6953/Will-Kamala-Harris-file-to-run-for-president-before-2023
6975,Will Mike Pence file to run for president before 2023?,Pence files for President before 2023?,https://www.predictit.org/markets/detail/6975/Will-Mike-Pence-file-to-run-for-president-before-2023
7013,Will a woman be elected U.S. president in 2024?,Woman president in 2024?,https://www.predictit.org/markets/detail/7013/Will-a-woman-be-elected-US-president-in-2024
7014,Will Alexandria Ocasio-Cortez file to run for president before 2024?,AOC files for President before 2024?,https://www.predictit.org/markets/detail/7014/Will-Alexandria-Ocasio-Cortez-file-to-run-for-president-before-2024
7016,Which party will win the U.S. Senate election in Pennsylvania in 2022?,Which party will win the PA Senate race?,https://www.predictit.org/markets/detail/7016/Which-party-will-win-the-US-Senate-election-in-Pennsylvania-in-2022
7017,Which party will win the U.S. Senate election in North Carolina in 2022?,Which party will win the NC Senate race?,https://www.predictit.org/markets/detail/7017/Which-party-will-win-the-US-Senate-election-in-North-Carolina-in-2022
7024,Which party will win the U.S. Senate election in Florida in 2022?,Which party will win the FL Senate race?,https://www.predictit.org/markets/detail/7024/Which-party-will-win-the-US-Senate-election-in-Florida-in-2022
7053,Who will win the 2024 Republican presidential nomination?,GOP 2024 presidential nominee?,https://www.predictit.org/markets/detail/7053/Who-will-win-the-2024-Republican-presidential-nomination
7057,Who will win the 2024 Democratic presidential nomination?,Democratic 2024 presidential nominee?,https://www.predictit.org/markets/detail/7057/Who-will-win-the-2024-Democratic-presidential-nomination
7085,Which party will win the U.S. Senate election in Ohio in 2022?,Which party will win the OH Senate race?,https://www.predictit.org/markets/detail/7085/Which-party-will-win-the-US-Senate-election-in-Ohio-in-2022
7107,Which party will win the 2022 U.S. Senate election in Georgia?,Which party will win the GA Senate race?,https://www.predictit.org/markets/detail/7107/Which-party-will-win-the-2022-US-Senate-election-in-Georgia
7112,Which party will win the 2022 U.S. Senate election in Arizona?,Which party will win the AZ Senate race?,https://www.predictit.org/markets/detail/7112/Which-party-will-win-the-2022-US-Senate-election-in-Arizona
7117,Which of these 10 African leaders will leave office next?,Next African leader out?,https://www.predictit.org/markets/detail/7117/Which-of-these-10-African-leaders-will-leave-office-next
7118,Will Marjorie Taylor Greene be re-elected to the House in 2022?,Greene re-elected to the House in 2022?,https://www.predictit.org/markets/detail/7118/Will-Marjorie-Taylor-Greene-be-re-elected-to-the-House-in-2022
7130,Which party will win the 2022 U.S. Senate election in New Hampshire?,Which party will win the NH Senate race?,https://www.predictit.org/markets/detail/7130/Which-party-will-win-the-2022-US-Senate-election-in-New-Hampshire
7131,Which party will win the 2022 U.S. Senate election in Nevada?,Which party will win the NV Senate race?,https://www.predictit.org/markets/detail/7131/Which-party-will-win-the-2022-US-Senate-election-in-Nevada
7132,Which party will win the 2022 U.S. Senate election in Wisconsin?,Which party will win the WI Senate race?,https://www.predictit.org/markets/detail/7132/Which-party-will-win-the-2022-US-Senate-election-in-Wisconsin
7136,Will Joe Biden resign during his first term?,Will Biden resign during his first term?,https://www.predictit.org/markets/detail/7136/Will-Joe-Biden-resign-during-his-first-term
