PREDICTIT_ID,PREDICTIT_CONTRACT_ID,IMAGE,END_DATE,CONTRACT_NAME,CONTRACT_STATUS_NAME,CONTRACT_SHORT_NAME,LAST_TRADE_PRICE,BEST_BUY_YES_COST,BEST_BUY_NO_COST,BEST_SELL_YES_COST,BEST_SELL_NO_COST,LAST_CLOSE_PRICE
6867,23545,""https://az620379.vo.msecnd.net/images/Contracts/small_9d46f92f-fc2d-406a-ade9-8cf2eb41e64e.png"",""NA"",""Libertarian"",""Open"",""Libertarian"",0.02,0.03,0.98,0.02,0.97,0.02
6867,23546,""https://az620379.vo.msecnd.net/images/Contracts/small_2482e38e-80aa-4ff0-b1e2-9c29a0f100bc.png"",""NA"",""Republican"",""Open"",""Republican"",0.54,0.55,0.46,0.54,0.45,0.54
6867,23547,""https://az620379.vo.msecnd.net/images/Contracts/small_dc2c8290-c5d5-4561-8c1a-31762c3972bb.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.45,0.45,0.56,0.44,0.55,0.45
6867,23548,""https://az620379.vo.msecnd.net/images/Contracts/small_5a27f11b-6e7e-4dd6-9d6b-48dafd96b436.png"",""NA"",""Green"",""Open"",""Green"",0.02,0.03,0.98,0.02,0.97,0.02
6874,23586,""https://az620379.vo.msecnd.net/images/Contracts/small_29b55b5a-6faf-4041-8b21-ab27421d0ade.png"",""2023-01-31T23:59:00"",""Democratic"",""Open"",""Democratic"",0.6,0.61,0.4,0.6,0.39,0.59
6874,23587,""https://az620379.vo.msecnd.net/images/Contracts/small_77aea45d-8c93-46d6-b338-43a6af0ba8e1.png"",""2023-01-31T23:59:00"",""Republican"",""Open"",""Republican"",0.41,0.41,0.6,0.4,0.59,0.42
6892,23689,""https://az620379.vo.msecnd.net/images/Contracts/small_dd7a25d1-8892-432c-9991-7047953ca799.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.23,0.24,0.77,0.23,0.76,0.24
6892,23690,""https://az620379.vo.msecnd.net/images/Contracts/small_50585c92-15cf-424d-b497-1127cb3a6f5a.png"",""NA"",""Republican"",""Open"",""Republican"",0.79,0.79,0.22,0.78,0.21,0.78
6953,24205,""https://az620379.vo.msecnd.net/images/Contracts/small_42e624ca-be5f-4c3e-8939-86bb42b0314d.jpg"",""2022-12-31T23:59:00"",""Will Kamala Harris file to run for president before the end of 2022?"",""Open"",""Harris files for President by 12/31/22?"",0.05,0.06,0.95,0.05,0.94,0.05
6975,24361,""https://az620379.vo.msecnd.net/images/Contracts/small_3074a2e1-9027-4c1c-a50f-18db9c0a9bd4.jpg"",""2022-12-31T23:59:00"",""Will Mike Pence file to run for president before the end of 2022?"",""Open"",""Pence files for President by 12/31/22?"",0.09,0.09,0.92,0.08,0.91,0.09
7013,24594,""https://az620379.vo.msecnd.net/images/Contracts/small_5ea99b02-9413-4222-aaec-823a2a2de73a.jpg"",""NA"",""Will a woman be elected U.S. president in 2024?"",""Open"",""Woman president in 2024?"",0.27,0.27,0.75,0.25,0.73,0.3
7014,24595,""https://az620379.vo.msecnd.net/images/Contracts/small_b33b636e-de9d-4069-9d3c-7ccb352ee335.jpg"",""2023-12-31T23:59:00"",""Will Alexandria Ocasio-Cortez file to run for president before the end of 2023?"",""Open"",""AOC files for President before 2024?"",0.24,0.24,0.77,0.23,0.76,0.23
7016,24600,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.28,0.29,0.72,0.28,0.71,0.28
7016,24601,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.73,0.74,0.27,0.73,0.26,0.75
7017,24602,""https://az620379.vo.msecnd.net/images/Contracts/small_7ff9f1b5-ab35-4b51-a013-0629cd1eb09e.png"",""NA"",""Republican"",""Open"",""Republican"",0.71,0.71,0.3,0.7,0.29,0.72
7017,24603,""https://az620379.vo.msecnd.net/images/Contracts/small_0a6f9243-552a-4f7a-a253-088af5e83a68.png"",""NA"",""Democratic"",""Open"",""Democratic"",0.3,0.3,0.71,0.29,0.7,0.3
